brand,product_name,formula_key,species,format,life_stage,size,ingredients,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,magnesium_percent,sodium_percent,potassium_percent,omega3_percent,omega6_percent,kcal_per_100g,kcal_per_kg,health_tags,ingredient_tags,medical_tags,data_quality_status,source_document,source_notes
Josera,JOSERA CATELUX DUCK & POULTRY,josera-josera-catelux-duck-and-poultry-cat-dry,cat,dry,adult,all,"αποξηραμένη πρωτεΐνη πουλερικών (πουλερικά 20,0%), (πάπια 6,0%), καλαμπόκι ολικής άλεσης, κατάλοιπα της τήξης λιπών, λίπος πουλερικών, αποξηραμένη πατάτα, ίνες τεύτλων, φυτικές ίνες, υδρολυμένη πρωτεΐνη πουλερικών, μέταλλα, αποξηραμένο συκώτι πουλερικών, κελύφη ψυλλίου (Psyllium)",32.0,20.0,5.3,6.8,NULL,1.3,0.95,0.08,0.45,0.55,NULL,NULL,NULL,NULL,NULL,duck;poultry,urinary,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA NATURECAT GRAIN FREE POULTRY &S ALMON,josera-josera-naturecat-grain-free-poultry-and-s-almon-cat-dry,cat,dry,adult,all,"κρέας πουλερικών 29,0 %, λίπος πουλερικών, αφυδατωμένες πατάτες, γλυκοπατάτα, αποξηραμένος σολομός 10,0 %, άμυλο μπιζελιών, πούλπα ζαχαρότευτλων, πρωτεΐνη πουλερικών υδρολυμένη, ανόργανα συστατικά, μαγιά, σκόνη πικραλίδας, βότανα, φρούτα",33.0,20.0,2.0,7.8,NULL,1.2,1.0,0.08,0.5,NULL,NULL,NULL,NULL,NULL,grain_free;skin_coat,poultry;salmon,sensitive_digestion,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Josera,JOSERA NATURELLE STERILISED TROUT,josera-josera-naturelle-sterilised-trout-cat-dry,cat,dry,adult,all,"αποξηραμένη πρωτεΐνη πουλερικών, άλευρο μπιζελιού, γλυκοπατάτα, λίπος πουλερικών, πρωτεΐνη πατάτας, αποξηραμένη πέστροφα 6,0 %, αποξηραμένη κόκκινη φακή 6,0 %, πούλπα ζαχαρότευτλων, αποξηραμένη πατάτα, λιγνινοκυτταρίνη, ανόργανα συστατικά (τρι-πολυφωσφορικό νάτριο 0,33%), υδρολυμένη πρωτεΐνη ψαριών, υδρολυμένη ζωική πρωτεΐνη, μαγιά, ρίζα πικραλίδας αλεσμένη (φυσική πηγή ινουλίνης)",35.0,12.0,4.2,6.3,NULL,1.15,0.9,0.6,0.33,NULL,NULL,NULL,NULL,NULL,grain_free;skin_coat;sterilised,poultry,urinary,needs_review,JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL VHN SENSITIVITY CONTROL,royal-canin-royal-vhn-sensitivity-control-dog-dry,dog,dry,unknown,all,"Ταπιόκα, αφυδατωμένο κρέας πάπιας, υδρολυμένες πρωτεΐνες πουλερικών, φυτικές ίνες, ζωικά λίπη, πούλπα σακχαροτεύτλων, ιχθυέλαιο, έλαιο σόγιας, ψύλλιο (σπόροι με φλοιό), μεταλλικά άλατα, φρουκτοολιγοσακχαρίτες, εκχύλισμα ταγίτη (πηγή λουτεΐνης). ΠΡΟΣΘΕΤΕΣ ΥΛΕΣ (ανά kg): Θρεπτικές πρόσθετες ύλες: Βιταμίνη A: 25000 IU, Βιταμίνη D3: 800 IU, E1 (Σίδηρος): 41 mg, E2 (Ιώδιο): 2,8 mg, E4 (Χαλκός): 10 mg, E5 (Μαγγάνιο): 54 mg, E6 (Ψευδάργυρος): 203 mg, E8 (Σελήνιο): 0,1 mg , Συντηρητικά , Αντιοξειδωτικά",21.0,9.0,4.4,7.2,9.5,1.48,NULL,NULL,NULL,NULL,0.68,1.98,NULL,NULL,NULL,duck;poultry,hypoallergenic;sensitive_digestion,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL GASTRO INTESTINAL PUPPY DOG,royal-canin-royal-gastro-intestinal-puppy-dog-dog-dry,dog,dry,puppy,all,"που βοηθά στη μείωση των οξείων διαταραχών εντερικής απορρόφησης και προάγει τη διατροφική αποκατάσταση και ανάρρωση.
Εξαιρετικά εύπεπτα συστατικά. Αυξημένα επίπεδα ηλεκτρολυτών και απαραίτητων θρεπτικών συστατικών. Υψηλά επίπεδα ενέργειας. Ο συνδυασμός εξαιρετικά εύπεπτων πρωτεϊνών (πρωτεΐνες L.I.P.**), πρεβιοτικών (φρουκτο,ολιγοσακχαρίτες & ολιγοσακχαρίτες μαννάνης), πούλπας τεύτλων, ρυζιού και ιχθυέλαιου για τη διασφάλιση της μέγιστης πεπτικής ασφάλειας. Παράλληλα η υψηλή περιεκτικότητα σε ενέργεια ανταποκρίνεται στις απαιτήσεις σε ενέργεια για την ανάπτυξη των κουταβιών, ενώ βοηθά στη μείωση της ποσότητας των γευμάτων περιορίζοντας έτσι το φόρτο του πεπτικού συστήματος. Τα κουτάβια που υποφέρουν από πεπτικά προβλήματα μπορεί να είναι πολύ αδύναμα και η όρεξή τους ενδέχεται να έχει μειωθεί ή/και να έχει γίνει ιδιότροπη. Αυτές οι κροκέτες έχουν σχεδιαστεί (μέγεθος, υφή και σχήμα) ώστε να ενυδατώνονται εύκολα, διευκολύνοντας την πρόσληψη τροφής από αυτά τα κουτάβια. Η τροφούλα σχεδιάστηκε με σύνθεση που λαμβάνει υπόψη τις διατροφικές ανάγκες των αναπτυσσόμενων κουταβιών.
*Σου υπενθυμίζουμε να έχεις πάντα φρέσκο νερό διαθέσιμο στο φιλαράκι σου.
Σύνθεση: ρύζι, αφυδατωμένο κρέας πουλερικών, ζωικά λίπη, καλαμπόκι, αφυδατωμένη πρωτεΐνη χοιρινού, γλουτένη σιταριού*, υδρολυμένες ζωικές πρωτεΐνες, πούλπα σακχαροτεύτλων, μεταλλικά άλατα, σκόνη αυγού, έλαιο σόγιας, ιχθυέλαιο, ζύμες, ψύλλιο (σπόροι με φλοιό), φρουκτοολιγοσακχαρίτες, εκχύλισμα μαγιάς (πηγή ολιγοσακχαριτών μαννάνης), εκχύλισμα ταγίτη (πηγή λουτεΐνης)",29.0,22.0,1.2,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,poultry;rice,sensitive_digestion,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL VHN GASTRO INTESTINAL DOG,royal-canin-royal-vhn-gastro-intestinal-dog-dog-dry,dog,dry,unknown,all,"ρύζι, αφυδατωμένο κρέας πουλερικών, ζωικά λίπη, καλαμπόκι, υδρολυμένες ζωικές πρωτεΐνες, ζύμες, σκόνη αυγού, πούλπα σακχαροτεύτλων, έλαιο σόγιας, μεταλλικά άλατα, φυτικές ίνες, ιχθυέλαιο, φρουκτοολιγοσακχαρίτες, ψύλλιο (σπόροι με φλοιό), εκχύλισμα μαγιάς (πηγή ολιγοσακχαριτών μαννάνης), εκχύλισμα ταγίτη (πηγή λουτεΐνης)",25.0,20.0,1.9,6.6,NULL,NULL,NULL,NULL,0.43,0.65,NULL,NULL,NULL,NULL,NULL,poultry;rice,hepatic;sensitive_digestion,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VHN GASTRO INTESTINAL DOG
Royal Canin,ROYAL VDIET SATIETY SMALL DOG,royal-canin-royal-vdiet-satiety-small-dog-dog-dry,dog,dry,adult,small,"αφυδατωμένη πρωτεΐνη πουλερικών, φυτικές ίνες, γλουτένη σιταριού*, ταπιόκα, γλουτένη καλαμποκιού, υδρολυμένες ζωικές πρωτεΐνες, πούλπα κιχωρίου, καλαμπόκι, σιτάρι, ζωικά λίπη, ψύλλιο (σπόροι με φλοιό), μεταλλικά άλατα, ιχθυέλαιο, άλας λιπαρών οξέων, φρουκτοολιγοσακχαρίτες, υδρολυμένα οστρακόδερμα (πηγή γλυκοζαμίνης), εκχύλισμα ταγίτη (πηγή λουτεΐνης), υδρολυμένος χόνδρος (πηγή χονδροϊτίνης)",30.0,9.5,15.5,6.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266.8,2668.0,skin_coat;weight_control,poultry,NULL,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL SATIETY SUPPORT DOG,royal-canin-royal-satiety-support-dog-dog-dry,dog,dry,adult,all,"φυτικές ίνες, αφυδατωμένο κρέας πουλερικών, γλουτένη σιταριού*, ταπιόκα, γλουτένη καλαμποκιού, υδρολυμένες ζωικές πρωτεΐνες, καλαμπόκι, σιτάρι, ζωικά λίπη, πούλπα σακχαροτεύτλων, μεταλλικά άλατα, ιχθυέλαιο, φρουκτοολιγοσακχαρίτες, έλαιο σόγιας, ψύλλιο (σπόροι με φλοιό), υδρολυμένα οστρακόδερμα (πηγή γλυκοζαμίνης), εκχύλισμα ταγίτη (πηγή λουτεΐνης), υδρολυμένος χόνδρος (πηγή χονδροϊτίνης).
Πρόσθετες ύλες ανά κιλό: Θρεπτικές πρόσθετες ύλες: Βιταμίνη A: 13900 IU, Βιταμίνη D3: 700 IU, E1 (Σίδηρος): 32 mg, E2 (Ιώδιο): 2,5 mg, E4 (Χαλκός): 6 mg, E5 (Μαγγάνιο): 42 mg, E6 (Ψευδάργυρος): 139 mg, E8 (Σελήνιο): 0,05 mg , Συντηρητικά , Αντιοξειδωτικά",30.0,9.5,16.5,5.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,286.6,2866.0,skin_coat;weight_control,poultry,NULL,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL SATIETY SUPPORT DOG
Royal Canin,ROYAL RENAL CANINE,royal-canin-royal-renal-canine-dog-dry,dog,dry,unknown,all,"ρύζι, καλαμποκάλευρο, ζωικά λίπη, γλουτένη καλαμποκιού, απομονωμένη πρωτεΐνη σόγιας, υδρολυμένες ζωικές πρωτεΐνες, πολτός τεύτλων, μεταλλικά άλατα, σκόνη αυγού, φυτικές ίνες, ιχθυέλαιο, σογιέλαιο, φρουκτο,ολιγο,σακχαρίτες, εκχυλίσματα πράσινου τσαγιού (πηγή πολυφαινολών), εκχύλισμα κατιφέ (πηγή λουτεΐνης).
Θρεπτικές πρόσθετες ύλες: Βιταμίνη Α: 11.600 IU, Βιταμίνη D3: 1000 IU, E1 (σίδηρος): 46 mg, E2 (ιώδιο): 4 mg, Ε4 (χαλκού): 11 mg, E5 (μαγγάνιο): 59 mg, E6 (ψευδάργυρος): 196 mg",16.0,18.0,2.2,4.3,NULL,0.7,0.2,0.06,0.2,0.7,NULL,NULL,NULL,NULL,NULL,rice,renal;urinary,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL HEPATIC CANINE,royal-canin-royal-hepatic-canine-dog-dry,dog,dry,unknown,all,"ρύζι, καλαμπόκι, ζωικά λίπη, απομονωμένη πρωτεΐνη σόγιας*, υδρολυμένες ζωικές πρωτεΐνες, πούλπα σακχαροτεύτλων, μεταλλικά άλατα, έλαιο σόγιας, φυτικές ίνες, ιχθυέλαιο, φρουκτοολιγοσακχαρίτες, εκχύλισμα ταγίτη (πηγή λουτεΐνης)",16.0,16.0,2.0,4.7,NULL,NULL,NULL,NULL,0.2,0.9,NULL,NULL,404.3,4043.0,NULL,rice,hepatic,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL VD DOG CARDIAC,royal-canin-royal-vd-dog-cardiac-dog-dry,dog,dry,unknown,all,"Ρύζι, αφυδατωμένο κρέας πουλερικών, καλαμποκάλευρο, ζωικά λίπη, γλουτένη καλαμποκιού, σκόνη αυγού, υδρολυμένες ζωικές πρωτεΐνες, πούλπα σακχαροτεύτλων, ιχθυέλαιο, φυτικές ίνες, μεταλλικά άλατα, έλαιο σόγιας, ζύμες, φρουκτοολιγοσακχαρίτες, εκχυλίσματα πράσινου τσαγιού (πηγή πολυφαινολών), εκχύλισμα ταγίτη (πηγή λουτεΐνης). ΠΡΟΣΘΕΤΕΣ ΥΛΕΣ (ανά kg): Θρεπτικές πρόσθετες ύλες: Βιταμίνη A: 15100 IU, Βιταμίνη D3: 800 IU, E1 (Σίδηρος): 37 mg, E2 (Ιώδιο): 2,8 mg, E4 (Χαλκός): 7 mg, E5 (Μαγγάνιο): 47 mg, E6 (Ψευδάργυρος): 156 mg, E8 (Σελήνιο): 0,06 mg , Συντηρητικά , Αντιοξειδωτικά",26.0,20.0,1.6,5.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weight_control,poultry;rice,cardiac;renal,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VD DOG CARDIAC
Royal Canin,ROYAL VHN HEPATIC CANINE,royal-canin-royal-vhn-hepatic-canine-dog-dry,dog,dry,unknown,all,"ρύζι, καλαμπόκι, ζωικά λίπη, απομονωμένη πρωτεΐνη σόγιας*, υδρολυμένες ζωικές πρωτεΐνες, πούλπα σακχαροτεύτλων, μεταλλικά άλατα, έλαιο σόγιας, φυτικές ίνες, ιχθυέλαιο, φρουκτοολιγοσακχαρίτες, εκχύλισμα ταγίτη (πηγή λουτεΐνης)",16.0,16.0,2.0,4.7,NULL,NULL,NULL,NULL,0.2,0.9,NULL,NULL,404.3,4043.0,NULL,rice,hepatic,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL VD DIABETIC DOG,royal-canin-royal-vd-diabetic-dog-dog-dry,dog,dry,unknown,all,"αφυδατωμένη πρωτεΐνη πουλερικών, κριθάρι, γλουτένη σιταριού*, γλουτένη καλαμποκιού, φυτικές ίνες, ζωικά λίπη, ταπιόκα, πούλπα σακχαροτεύτλων, υδρολυμένες ζωικές πρωτεΐνες, ιχθυέλαιο, ψύλλιο (σπόροι με φλοιό), φρουκτοολιγοσακχαρίτες, μεταλλικά άλατα, εκχύλισμα ταγίτη (πηγή λουτεΐνης)",37.0,12.0,6.4,5.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,poultry,diabetic,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VD DIABETIC DOG
Royal Canin,ROYAL VHN GASTRO INT LOW FAT DOG,royal-canin-royal-vhn-gastro-int-low-fat-dog-dog-dry,dog,dry,unknown,all,"ρύζι, αφυδατωμένη πρωτεΐνη πουλερικών, σιτάρι, κριθάρι, υδρολυμένες ζωικές πρωτεΐνες, πούλπα τεύτλων, ζωικά λίπη, ανόργανα συστατικά, προϊόντα ζυμών, ιχθυέλαιο, μονο- και διγλυκερίδια του παλμιτικού οξέος και στεατικού οξέος εστεροποιημένα με κιτρικό οξύ, ψύλλιο (σπόροι με φλοιό), φρουκτοολιγοσακχαρίτες (0,48%), υδρολυμένη ζύμη (πηγή ολιγοσακχαριτών μαννάνης) (0,19%), εκχύλισμα ταγίτη (πηγή λουτεΐνης)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,poultry;rice,sensitive_digestion,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,. ROYAL VD ANALLERGENIC DOG,royal-canin-royal-vd-anallergenic-dog-dog-dry,dog,dry,puppy,all,"άμυλο από καλαμπόκι, υδρόλυμα φτερού χαμηλού μοριακού βάρους (πηγή L-αμινοξέων και ολιγοπεπτιδίων), έλαιο ινδοκάρυδου, έλαιο σόγιας, μεταλλικά άλατα, φυτικές ίνες, πούλπα κιχωρίου, φρουκτοολιγοσακχαρίτες, ιχθυέλαιο, μονο- και διγλυκερίδια λιπαρών οξέων εστεροποιημένα με κιτρικό οξύ, ζωικά λίπη, εκχύλισμα ταγίτη (πηγή λουτεΐνης)",18.0,16.5,2.2,8.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,skin_coat,NULL,hypoallergenic,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
Royal Canin,ROYAL VHN URINARY S/O DOG,royal-canin-royal-vhn-urinary-s-o-dog-dog-dry,dog,dry,unknown,all,"ρύζι, καλαμποκάλευρο, ζωικά λίπη, αφυδατωμένο κρέας πουλερικών, γλουτένη τροφή για σκύλους με προβλήματα ουρολιθίασηςκαλαμποκιού, μεταλλικά άλατα, υδρολυμένες ζωικές πρωτεΐνες, φυτικές ίνες, σκόνη αυγού, ιχθυέλαιο, σογιέλαιο, φρουκτο-ολιγο-σακχαρίτες, εκχύλισμα κατιφέ (πηγή λουτεΐνης).
Θρεπτικές πρόσθετες ύλες : Βιταμίνη Α: 11500 IU, Βιταμίνη D3: 1000 IU, E1 (σίδηρος): 45 mg, E2 (ιώδιο): 3,5 mg, Ε4 (χαλκού): 10 mg, E5 (μαγγάνιο): 59 mg, E6 (ψευδάργυρος): 195 mg, E8 (σελήνιο): 0,06 mg",18.0,17.0,2.2,6.6,NULL,0.5,0.5,0.05,1.2,0.8,NULL,NULL,NULL,NULL,NULL,poultry;rice,cardiac;renal;urinary,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VHN URINARY S/O DOG
Royal Canin,ROYAL GASTRO INT LOW FAT,royal-canin-royal-gastro-int-low-fat-dog-dry,dog,dry,unknown,all,"ρύζι, αφυδατωμένη πρωτεΐνη πουλερικών, σιτάρι, κριθάρι, υδρολυμένες ζωικές πρωτεΐνες, πούλπα τεύτλων, ζωικά λίπη, ανόργανα συστατικά, προϊόντα ζυμών, ιχθυέλαιο, μονο- και διγλυκερίδια του παλμιτικού οξέος και στεατικού οξέος εστεροποιημένα με κιτρικό οξύ, ψύλλιο (σπόροι με φλοιό), φρουκτοολιγοσακχαρίτες (0,48%), υδρολυμένη ζύμη (πηγή ολιγοσακχαριτών μαννάνης) (0,19%), εκχύλισμα ταγίτη (πηγή λουτεΐνης)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,poultry;rice,sensitive_digestion,needs_review,Περιγραφές Vet Eshop.docx,Auto-extracted from uploaded document; verify before import.
