source_group,listing_url,product_url,product_title,species,brand_family,source_tier,source_type,market,status,product_scope,notes
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-savoury-duo-sterilised-dry-cod-trout,PRO PLAN® STERILISED Μπακαλιάρος και Πέστρορφα,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-rabbit,PRO PLAN® STERILISED Renal Plus Cat Κουνέλι,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-salmon,PRO PLAN® STERILISED Renal Plus Cat Σολομός,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-savoury-duo-sterilised-dry-duck-liver,PRO PLAN® STERILISED Savoury Duo Πάπια και Συκώτι,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-vital-functions-salmon,PRO PLAN® STERILISED Vital functions Cat Σολομός,cat,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-nutrisavour-wet-kitten-turkey-in-gravy,PRO PLAN KITTEN Γαλοπούλα σε σάλτσα,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-delicate-digestion-dry-turkey,PRO PLAN® DELICATE Digestion Γαλοπούλα,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-dry-adult-elegant-salmon,PRO PLAN® ELEGANT Cat Σολομός,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-dry-kitten-healthy-start-chicken,PRO PLAN® Kitten Κοτόπουλο,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-kitten-healthy-start-salmon,PRO PLAN® Kitten Healthy Start STERILISED Cat Σολομό,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-supplements-multivitamins-plus,PRO PLAN® Multivitamins+ Συμπλήρωμα Διατροφής για Γάτες σε Σκόνη,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,defer_not_complete_food,defer_supplement_or_treat,"Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-supplements-natural-defences-plus,PRO PLAN® Natural Defences+ Συμπλήρωμα Διατροφής για Γάτες σε Σκόνη,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,defer_not_complete_food,defer_supplement_or_treat,"Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-nutrisavour-wet-sterilised-chicken-in-gravy,PRO PLAN® NutrisavourTM Sterilised για γάτες με κοτόπουλο,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-wet-beef-in-gravy,PRO PLAN® STERILISED Cat Βοδινό σε σάλτσα,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-sensitive-digestion-chicken,PRO PLAN® STERILISED Delicate Digestion Cat Κοτόπουλο,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-senior-longevis-turkey,PRO PLAN® STERILISED Longevis 7+ Cat Γαλοπούλα,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-turkey,PRO PLAN® STERILISED Renal Plus Cat Γαλοπούλα,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets dog,https://www.purina.gr/dog/dog-food?brand%5B271%5D=271&nppe_cbd_preferred=,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-convalescence-cat-wet-mousse-can,PRO PLAN® VETERINARY DIETS CANINE&FELINE CN Convalescence Mούς,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-gastrointestinal-wet-chicken-pouch,PRO PLAN® VETERINARY DIETS EN GASTROINTESTINAL Cat Κομματάκια σε σάλτσα Κοτόπουλο,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-diabetes-management-dry,PRO PLAN® VETERINARY DIETS FELINE DM Cat,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-gastrointestinal-dry,PRO PLAN® VETERINARY DIETS FELINE EN GASTROINTESTINAL Cat,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-hydra-care-chews-cat-supplement,PRO PLAN® VETERINARY DIETS Feline Hydra Care,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,defer_not_complete_food,defer_supplement_or_treat,"Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-renal-function-dry-early-care,PRO PLAN® VETERINARY DIETS FELINE NF RENAL FUNCTION EarlyCare,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-obesity-management-dry,PRO PLAN® VETERINARY DIETS FELINE OM OBESITY MANAGEMENT Cat,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-dry-chicken,PRO PLAN® VETERINARY DIETS FELINE UR ST/OX URINARY Cat,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-dry-fish,PRO PLAN® VETERINARY DIETS FELINE UR ST/OX URINARY Cat Ψάρια Ωκεανού,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-fortiflora-cat-supplement,PRO PLAN® VETERINARY DIETS FORTIFLORA Feline Διατροφικό συμπλήρωμα 6x30g,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,defer_not_complete_food,defer_supplement_or_treat,"Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
pro plan cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-fortiflora-chews-cat-supplement,PRO PLAN® VETERINARY DIETS FORTIFLORA Fln CHEWS Διατροφικό συμπλήρωμα,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,defer_not_complete_food,defer_supplement_or_treat,"Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-obesity-management-wet-chicken-pouch,PRO PLAN® VETERINARY DIETS OM OBESITY MANAGEMENT Cat Κομματάκια σε σάλτσα Κοτόπουλο,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-wet-chicken,PRO PLAN® VETERINARY DIETS UR ST/OX URINARY Cat Κομματάκια σε σάλτσα Κοτόπουλο,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan vet diets cat,https://www.purina.gr/cat/cat-food?brand%5B221%5D=221&brand%5B271%5D=271&nppe_cbd_preferred=&page=0,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-wet-salmon-pouch,PRO PLAN® VETERINARY DIETS UR ST/OX URINARY Cat Κομματάκια σε σάλτσα Σολομός,cat,Purina Pro Plan Veterinary Diets,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
dog chow,https://www.purina.gr/dog/dog-food?brand%5B9839%5D=9839&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-chow-large-breed-dry-adult-turkey,CHOW® ADULT LARGE BREED Dog Γαλοπούλα,dog,Purina Dog Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
dog chow,https://www.purina.gr/dog/dog-food?brand%5B9839%5D=9839&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-chow-dry-senior-chicken,CHOW® MATURE SENIOR Dog Κοτόπουλο,dog,Purina Dog Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
dog chow,https://www.purina.gr/dog/dog-food?brand%5B9839%5D=9839&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-chow-dry-puppy-chicken,CHOW® PUPPY Κοτόπουλο,dog,Purina Dog Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
dog chow,https://www.purina.gr/dog/dog-food?brand%5B9839%5D=9839&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-chow-sensitive-dry-salmon,CHOW® SENSITIVE Dog Σολομος,dog,Purina Dog Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
dog chow,https://www.purina.gr/dog/dog-food?brand%5B9839%5D=9839&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-chow-classic-dry-adult-chicken,DOG CHOW® CLASSIC Adult Κοτόπουλο,dog,Purina Dog Chow,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-light-weight-management-chicken,PRO PLAN® ALL SIZES ADULT LIGHT/STERILISED Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-performance-chicken,PRO PLAN® ALL SIZES ADULT Perfromance Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-athletic-everyday-nutrition-chicken,PRO PLAN® LARGE ATHLETIC ADULT Everyday Nutrition Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-athletic-sensitive-skin-salmon,PRO PLAN® LARGE ATHLETIC ADULT Sensitive Skin Σολομός,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-puppy-large-athletic-healthy-start-chicken,PRO PLAN® LARGE ATHLETIC PUPPY Healthy Start Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-robust-everyday-nutrition-chicken,PRO PLAN® LARGE ROBUST ADULT Everyday Nutrition Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-robust-sensitive-digestion-lamb,PRO PLAN® LARGE ROBUST ADULT Sensitive Digestion Αρνί,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-robust-sensitive-skin-salmon,PRO PLAN® LARGE ROBUST ADULT Sensitive Skin Σολομός,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-puppy-large-robust-healthy-start-chicken,PRO PLAN® LARGE ROBUST PUPPY Healthy Start Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-starter-chicken,PRO PLAN® Large Starter Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-senior-medium-sensitive-skin-salmon,PRO PLAN® MEDIUM & LARGE ADULT 7+ Sensitive skin Σολομός,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-senior-medium-large-age-defence-chicken,PRO PLAN® MEDIUM & LARGE ADULT Age Defence 7+ Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-medium-everyday-nutrition-chicken,PRO PLAN® MEDIUM ADULT Everyday Nutrition Κοτόπουλο,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-medium-sensitive-digestion-lamb,PRO PLAN® MEDIUM ADULT Sensitive Digestion Αρνί,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
pro plan dog,https://www.purina.gr/dog/dog-food?brand%5B221%5D=221&nppe_cbd_preferred=,https://www.purina.gr/dog/dog-food/product-proplan-adult-medium-sensitive-skin-salmon,PRO PLAN® MEDIUM ADULT Sensitive skin Σολομός,dog,Purina Pro Plan,official,official_product_page,GR,ready_for_manual_food_match,complete_food_candidate,Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
