action,dataset_file,formula_key,brand,formula_name,field,old_value,new_value,evidence,notes
ambiguous,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-adult-yorkshire-terrier-15-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Yorkshire Terrier -15%,epa_percent|dha_percent,,,"6 λιπαρά οξέα: 33,7 g, Ομέγα-3 λιπαρά οξέα: 7,5 g συμπεριλαμβανομένου EPA / DHA: g - τριφωσφορικό νάτριο: 3,5 g. Η Super Premium ξηρά τροφή συντήρησης, με πλούσια γεύση πουλερικών π","Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/gatoskilo_local_html_batch_v2.csv,hi-dog-puppy-fresh-chicken-dog-dry-gr-gatoskilo,Hi,Dog Puppy Fresh Chicken,dha_percent,,0.25,"OS 0,3%, λιγνοκυτταρίνη, αποξηραμένα φύκια (Schizochytrium sp.) -πηγή DHA 0,25%, προϊόντα μαγιάς -πηγή MOS 0,2%. | [""Φρέσκο κοτόπουλο 14%"",""ρύζι 14%""",Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-prestige-flatazor-cat-sterilized-chicken-cat-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Prestige (Flatazor) Cat Sterilized Chicken,epa_percent|dha_percent,,,"Αλφα-λινολενικό οξύ 6,9 g / kg. EPA + DHA 0,06 g / kg. Λυσίνη 17,6 g / kg. Μεθειονίνη 6,9 g / kg. L-καρνιτίνη 50 mg / kg. Τ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-prestige-flatazor-maxi-adult-δωρο-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Prestige (Flatazor) Maxi Adult + ΔΩΡΟ,epa_percent|dha_percent,,,"Αλφα-λινολενικό οξύ 12,1 g / kg. EPA + DHA 0,2 g / kg. Λυσίνη 15,3 g / kg. Μεθειονίνη 4,2 g / kg. Χαλκός 20 mg / kg. Ψευδάρ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-pure-life-flatazor-cat-sterilized-sardine-cat-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Pure Life (Flatazor) Cat Sterilized Sardine,epa_percent|dha_percent,,,"EPA + DHA 2,1 g / kg. Λυσίνη 19,4 g / kg. Μεθειονίνη 11,5 g / kg. L-καρνιτίνη 50 mg / kg.","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,pro-nutrition-flatazor-pro-nutrition-pure-life-flatazor-dog-adult-sensitive-with-lamb-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Pure Life (Flatazor) Dog Adult Sensitive with Lamb,epa_percent|dha_percent,,,Αλφα-λινολενικό οξύ 18 g / kg. EPA + DHA 3.7 g / kg. Λυσίνη 14.8 g / kg. Μεθειονίνη 4.7 g / kg. Χαλκός 19 mg / kg. Ψευδάρ,"Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-vet-diet-cat-renal-cat-dry-gr-gatoskilo,Royal Canin,Vet Diet Cat Renal,epa_percent|dha_percent,,,"ρακικό ασβέστιο. Βιταμίνη D (ολική) 800,0 IU/kg - Υδροξυπρολίνη: 0% - EPA/DHA: 0,42% - Απαραίτητα λιπαρά οξέα (λινελαϊκό οξύ, αραχιδονικό οξύ): 3,26% | [""","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-vet-diet-cat-renal-cat-dry-gr-gatoskilo,Royal Canin,Vet Diet Cat Renal,epa_percent|dha_percent,,,"ρακικό ασβέστιο. Βιταμίνη D (ολική) 800,0 IU/kg - Υδροξυπρολίνη: 0% - EPA/DHA: 0,42% - Απαραίτητα λιπαρά οξέα (λινελαϊκό οξύ, αραχιδονικό οξύ): 3,26%""] |","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-vet-diet-cat-renal-special-cat-dry-gr-gatoskilo,Royal Canin,Vet Diet Cat Renal Special,epa_percent|dha_percent,,,"ικότητά της. Βιταμίνη D (ολική): 900,0 IU/kg - Υδροξυπρολίνη: 0,86% - EPA/DHA: 0,41% - Απαραίτητα λιπαρά οξέα (λινελαϊκό οξύ, αραχιδονικό οξύ): 3,13% - Πρ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_local_html_batch_v2.csv,royal-canin-vet-diet-cat-renal-special-cat-dry-gr-gatoskilo,Royal Canin,Vet Diet Cat Renal Special,epa_percent|dha_percent,,,"ικότητά της. Βιταμίνη D (ολική): 900,0 IU/kg - Υδροξυπρολίνη: 0,86% - EPA/DHA: 0,41% - Απαραίτητα λιπαρά οξέα (λινελαϊκό οξύ, αραχιδονικό οξύ): 3,13% - Πρ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-dermacomfort-dog-dry-gr-gatoskilo,Royal Canin,Maxi Dermacomfort,epa_percent|dha_percent,,,"Μεταλλικά Άλατα, Έλαιο Σόγιας, Πούλπα Σακχαροτεύτλων, Ιχθυέλαιο (Πηγή EPA και DHA), Λιναρόσπορος (Πηγή Ωμέγα 3), Φρουκτοολιγοσακχαρίτες, Έλαιο Βοράγου (πηγή γάμμα λινολενικού οξέος","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-dermacomfort-dog-dry-gr-gatoskilo,Royal Canin,Maxi Dermacomfort,epa_percent|dha_percent,,,"αλλικά Άλατα"",""Έλαιο Σόγιας"",""Πούλπα Σακχαροτεύτλων"",""Ιχθυέλαιο (Πηγή EPA και DHA)"",""Λιναρόσπορος (Πηγή Ωμέγα 3)"",""Φρουκτοολιγοσακχαρίτες"",""Έλαιο Βοράγου (πηγή γάμμα λινολενικού οξέ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-vet-diet-dog-urinary-s-o-dog-dry-gr-gatoskilo,Royal Canin,Vet Diet Dog Urinary S/O,epa_percent|dha_percent,,,"οξίνισης των ούρων: Θειικό ασβέστιο (0.88%) - DL-μεθειονίνη (0.6%) - EPA & DHA: 0,21% | Καλαμποκάλευρο, ρύζι, ζωικά λίπη, αφυδατωμένη πρωτεΐνη πουλερικών,","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-adult-yorkshire-terrier-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Yorkshire Terrier,epa_percent|dha_percent,,,"6 λιπαρά οξέα: 33,7 g, Ομέγα-3 λιπαρά οξέα: 7,5 g συμπεριλαμβανομένου EPA / DHA: g - τριφωσφορικό νάτριο: 3,5 g. Η Super Premium ξηρά τροφή συντήρησης, με πλούσια γεύση πουλερικών π","Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,ORIJEN,Orijen Adult 6 Fish,dha_percent,,0.7,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (NFE) 18%",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,ORIJEN,Orijen Adult 6 Fish,epa_percent,,0.5,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (NFE) 18%",Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,ORIJEN,Orijen Adult 6 Fish,epa_percent|dha_percent,,,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (N","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-adult-yorkshire-terrier-15-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Adult Yorkshire Terrier -15%,epa_percent|dha_percent,,,"6 λιπαρά οξέα: 33,7 g, Ομέγα-3 λιπαρά οξέα: 7,5 g συμπεριλαμβανομένου EPA / DHA: g - τριφωσφορικό νάτριο: 3,5 g. Η Super Premium ξηρά τροφή συντήρησης, με πλούσια γεύση πουλερικών π","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,flatazor-crocktail-kitten-με-πουλερικα-cat-dry-gr-spreadsheet,Flatazor,Crocktail Kitten με Πουλερικά,epa_percent|dha_percent,,,"Αλφα-λινολενικό οξύ 11,9 g / kg. EPA + DHA 1,97 g / kg. Λυσίνη 22,6 g / kg. Μεθειονίνη 8,7 g / kg. Ταυρίνη 2200 mg / kg. Χαλ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/petshop88_product_extract_v2.csv,farmina-n-d-dog-brown-lamb-spirulina-αdult-medium-maxi-με-αρνι-ημ-ληξης-7-2026-dog-dry-gr-retailer,Farmina,N&D Dog Brown Lamb & Spirulina Αdult Medium & Maxi με Αρνί (Ημ Λήξης 7/2026),dha_percent,,0.5,"8.60%, Ασβέστιο 1.10%, Φώσφορος 0.80%, Ωμέγα-6 3.30%, Ωμέγα-3 0.90%, DHA 0.50%, EPA 0.30%, Γλυκοζαμίνη 1200mg/kg, Θειική χονδροϊτίνη 900mg/kg. Διατρ",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/petshop88_product_extract_v2.csv,farmina-n-d-dog-brown-lamb-spirulina-αdult-medium-maxi-με-αρνι-ημ-ληξης-7-2026-dog-dry-gr-retailer,Farmina,N&D Dog Brown Lamb & Spirulina Αdult Medium & Maxi με Αρνί (Ημ Λήξης 7/2026),epa_percent,,0.3,"έστιο 1.10%, Φώσφορος 0.80%, Ωμέγα-6 3.30%, Ωμέγα-3 0.90%, DHA 0.50%, EPA 0.30%, Γλυκοζαμίνη 1200mg/kg, Θειική χονδροϊτίνη 900mg/kg. Διατροφικές πρόσ",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-cat-chow-kitten-κοτοπουλο-cat-dry-gr,Purina Cat Chow,CAT CHOW® KITTEN Κοτόπουλο,dha_percent,,0.01,ες: 12.0% Ακατέργαστη τέφρα: 8.5% Ακατέργαστες διατροφικές ίνες: 2.5% DHA: 0.01% Διατροφικά Πρόσθετα IU/kg: Βιτ. A: 17000; Βιτ. D3: 1 410; Βιτ Ε:120.,Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-kitten-γαλοπουλα-σε-σαλτσα-cat-wet-gr,Purina Pro Plan Veterinary Diets,PRO PLAN KITTEN Γαλοπούλα σε σάλτσα,dha_percent,,0.01,"τα σε λιπαρά: 4,0%; Ακατέργαστη τέφρα: 2,4%; Ακατέργαστες ίνες: 0,3%; DHA: 0,01% Πρόσθετα διατροφής IU/kg: Βιταμίνη Α: 1329; Βιτ D3: 185; Βιτ Ε: 295;",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-kitten-κοτοπουλο-cat-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® Kitten Κοτόπουλο,dha_percent,,0.05,"ίες: 20%, Ακατέργαστη τέφρα: 7,5%, Ακατέργαστες διατροφικές ίνες: 1%, DHA: 0,05%. Πρόσθετα διατροφής Πρόσθετα: Διατροφικά πρόσθετα: IU/kg: Βιτ Α: 36 5",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-kitten-healthy-start-sterilised-cat-σολομο-cat-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® Kitten Healthy Start STERILISED Cat Σολομό,dha_percent,,0.3,"ουσίες: 18% Ακατέργαστη τέφρα: 7,5% Ακατέργαστες διατροφικές ίνες: 1% DHA: 0,3% Διατροφικά Πρόσθετα IU/kg: Βιτ. Α: 36 500; Βιτ. D3: 1 200; Βιτ. Ε: 67",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-chow-puppy-κοτοπουλο-dog-dry-gr,Purina Dog Chow,CHOW® PUPPY Κοτόπουλο,dha_percent,,0.05,σίες: 14% Ακατέργαστη τέφρα: 7.5% Ακατέργαστες διατροφικές ίνες: 2.5% DHA: 0.05% Διατροφικά Πρόσθετα IU/kg: Βιτ. Α: 22 600; Βιτ. D3: 1 300; Βιτ. E: 10,Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-medium-large-adult-7-sensitive-skin-σολομος-dog-unknown-gr,Purina Pro Plan,PRO PLAN® MEDIUM & LARGE ADULT 7+ Sensitive skin Σολομός,epa_percent,,0.2,"14,0%, Ακατέργαστη τέφρα: 7,5%, Ακατέργαστες διατροφικές ίνες: 2,5%, EPA: 0,2%. Πρόσθετα διατροφής Πρόσθετα: Διατροφικά πρόσθετα: IU/kg: Βιτ Α: 37 0",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-medium-large-adult-age-defence-7-κοτοπουλο-dog-unknown-gr,Purina Pro Plan,PRO PLAN® MEDIUM & LARGE ADULT Age Defence 7+ Κοτόπουλο,epa_percent,,0.1,"15,0%, Ακατέργαστη τέφρα: 7,5%, Ακατέργαστες διατροφικές ίνες: 2,0%, EPA: 0,1%, Γλυκοζαμίνη: 400mg/kg. Πρόσθετα διατροφής Πρόσθετα: Διατροφικά πρόσθ",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-small-mini-adult-age-defence-9-κοτοπουλο-dog-unknown-gr,Purina Pro Plan,PRO PLAN® SMALL&MINI ADULT Age Defence 9+ Κοτόπουλο,epa_percent,,0.1,"15,0%, Ακατέργαστη τέφρα: 7,5%, Ακατέργαστες διατροφικές ίνες: 2,0%, EPA: 0,1%, Γλυκοζαμίνη: 400mg/kg. Πρόσθετα διατροφής Πρόσθετα: Διατροφικά πρόσθ",Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-drm-dermatosistm-dog-dog-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE DRM DERMATOSISTM Dog,epa_percent|dha_percent,,,υσίες:18.0% Ακατέργαστη τέφρα:7.0% Ακατέργαστες διατροφικές ίνες:2.5% EPA και DHA: 1.1% Ωμέγα 3 λιπαρά οξέα:1.4% Ωμέγα 6 λιπαρά οξέα:2.3% Πρόσθετα διατροφής,"Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-ha-hypoallergenic-dog-dog-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE HA Hypoallergenic Dog,epa_percent|dha_percent,,,ατάνθρακες: 54.0% Ωμέγα 3 λιπαρά οξέα: 0.5% Ωμέγα 6 λιπαρά οξέα: 1.8% EPA και DHA: 0.15% Λιπαρά οξέα μέσης αλύσου: 1.3% Διατροφικά Πρόσθετα IU/kg: Βιτ. Α: 30,"Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-ha-hypoallergenic-dog-mους-dog-wet-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE HA Hypoallergenic Dog Mούς,epa_percent|dha_percent,,,φρα: 2.1 ακατέργαστες διατροφικές ίνες: 2.1 Ωμέγα 3 λιπαρά οξέα: 0.17 EPA και DHA: 0.06 Ωμέγα 6 λιπαρά οξέα: 0.89 Διατροφικά Πρόσθετα IU/kg: Βιτ D3: 215. mg/k,"Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-hp-hepatic-dog-dog-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE HP HEPATIC Dog,dha_percent,,0.08,/kg Λινολεϊκό οξύ: 2.0% Αραχιδονικό οξύ: 0.18% Άλφα λινολενικό: 0.16% DHA: 0.08% Ενεργειακή αξία: 3.92kcal/g Διατροφικά Πρόσθετα IU/kg: Βιτ. Α: 24 000,Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-jm-joint-mobility-dog-dog-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE JM Joint Mobility Dog,epa_percent|dha_percent,,,"ες: 12,0% Ακατέργαστη τέφρα: 7,0% Ακατέργαστες διατροφικές ίνες: 2,5% EPA and DHA: 0,8% Διατροφικά Πρόσθετα IU/kg: Βιτ. Α: 30000; Βιτ. D3: 1000; Βιτ. Ε: 940.","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-nc-neurocare-dog-dog-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE NC NEUROCARE Dog,epa_percent|dha_percent,,,"ες: 15,0% Ακατέργαστη τέφρα: 7,5% Ακατέργαστες διατροφικές ίνες: 1,5% EPA + DHA: 0,4% Διατροφικά Πρόσθετα IU/kg: Βιτ. Α: 37000; Βιτ. D3: 1200; Βιτ. Ε: 600.","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/purina_official_enrichment_extract_v2.csv,purina-official-pro-plan-veterinary-diets-canine-nf-renal-function-dog-dog-dry-gr,Purina Pro Plan Veterinary Diets,PRO PLAN® VETERINARY DIETS CANINE NF RENAL FUNCTION Dog,epa_percent|dha_percent,,,0.2% Κάλιο: 0.8% Ωμέγα 6 λιπαρά οξέα: 2.5% Ωμέγα 3 λιπαρά οξέα: 0.4% EPA και DHA: 0.22% Ολικά θειούχα αμινοξέα: 0.67% Χλωριούχο: 0.66% Θείο: 0.21% Πουρίνες:,"Combined EPA/DHA mention found, but separate values were not clear enough to split."
backfilled,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,dha_percent,,0.7,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (NFE) 18%",Exact EPA/DHA value extracted from row text.
backfilled,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,epa_percent,,0.5,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (NFE) 18%",Exact EPA/DHA value extracted from row text.
ambiguous,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,epa_percent|dha_percent,,,"5%, Φώσφορο 1.1%, Ωμέγα-6 λιπαρά οξέα 2.2%, Ωμέγα-3 λιπαρά οξέα 2.2%, DHA / EPA 0.7 % / 0.5 % Γλουκοζαμίνη 1250 mg/kg Χονδροϊτίνη 1000 mg/k Υδατάνθρακες (N","Combined EPA/DHA mention found, but separate values were not clear enough to split."
ambiguous,data/imports/vet_eshop_document_extract_v2.csv,royal-canin-veterinary-gastro-intestinal-dog-dog-dry-gr-document,Royal Canin,Veterinary GASTRO INTESTINAL DOG,epa_percent|dha_percent,,,"1,9%, EPA/DHA: 0,31%, Ω3 λιπαρά οξέα: 0,85%, Ω6 λιπαρά οξέα: 4,28%, Νάτριο: 0,43%, Κάλιο: 0,65%. Συνθεση: ρύζι, αφυδατωμένο κρέας πουλερ","Combined EPA/DHA mention found, but separate values were not clear enough to split."
