brand,species,formula_name_guess,source_group,product_url,product_title,recommended_action,notes
Purina Pro Plan,cat,PRO PLAN® STERILISED Renal Plus Cat Σολομός,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-salmon,PRO PLAN® STERILISED Renal Plus Cat Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,cat,PRO PLAN® STERILISED Savoury Duo Πάπια και Συκώτι,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-savoury-duo-sterilised-dry-duck-liver,PRO PLAN® STERILISED Savoury Duo Πάπια και Συκώτι,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,cat,PRO PLAN® STERILISED Vital functions Cat Σολομός,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-vital-functions-salmon,PRO PLAN® STERILISED Vital functions Cat Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN KITTEN Γαλοπούλα σε σάλτσα,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-nutrisavour-wet-kitten-turkey-in-gravy,PRO PLAN KITTEN Γαλοπούλα σε σάλτσα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® DELICATE Digestion Γαλοπούλα,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-delicate-digestion-dry-turkey,PRO PLAN® DELICATE Digestion Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® ELEGANT Cat Σολομός,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-dry-adult-elegant-salmon,PRO PLAN® ELEGANT Cat Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® Kitten Κοτόπουλο,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-dry-kitten-healthy-start-chicken,PRO PLAN® Kitten Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® Kitten Healthy Start STERILISED Cat Σολομό,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-kitten-healthy-start-salmon,PRO PLAN® Kitten Healthy Start STERILISED Cat Σολομό,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® Multivitamins+ Συμπλήρωμα Διατροφής για Γάτες σε Σκόνη,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-supplements-multivitamins-plus,PRO PLAN® Multivitamins+ Συμπλήρωμα Διατροφής για Γάτες σε Σκόνη,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.","Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® Natural Defences+ Συμπλήρωμα Διατροφής για Γάτες σε Σκόνη,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-supplements-natural-defences-plus,PRO PLAN® Natural Defences+ Συμπλήρωμα Διατροφής για Γάτες σε Σκόνη,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.","Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® NutrisavourTM Sterilised για γάτες με κοτόπουλο,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-nutrisavour-wet-sterilised-chicken-in-gravy,PRO PLAN® NutrisavourTM Sterilised για γάτες με κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® STERILISED Cat Βοδινό σε σάλτσα,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-wet-beef-in-gravy,PRO PLAN® STERILISED Cat Βοδινό σε σάλτσα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® STERILISED Delicate Digestion Cat Κοτόπουλο,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-sensitive-digestion-chicken,PRO PLAN® STERILISED Delicate Digestion Cat Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® STERILISED Longevis 7+ Cat Γαλοπούλα,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-senior-longevis-turkey,PRO PLAN® STERILISED Longevis 7+ Cat Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® STERILISED Renal Plus Cat Γαλοπούλα,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-sterilised-dry-renal-plus-turkey,PRO PLAN® STERILISED Renal Plus Cat Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS CANINE&FELINE CN Convalescence Mούς,pro plan vet diets dog,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-convalescence-cat-wet-mousse-can,PRO PLAN® VETERINARY DIETS CANINE&FELINE CN Convalescence Mούς,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS EN GASTROINTESTINAL Cat Κομματάκια σε σάλτσα Κοτόπουλο,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-gastrointestinal-wet-chicken-pouch,PRO PLAN® VETERINARY DIETS EN GASTROINTESTINAL Cat Κομματάκια σε σάλτσα Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FELINE DM Cat,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-diabetes-management-dry,PRO PLAN® VETERINARY DIETS FELINE DM Cat,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FELINE EN GASTROINTESTINAL Cat,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-gastrointestinal-dry,PRO PLAN® VETERINARY DIETS FELINE EN GASTROINTESTINAL Cat,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS Feline Hydra Care,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-hydra-care-chews-cat-supplement,PRO PLAN® VETERINARY DIETS Feline Hydra Care,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.","Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FELINE NF RENAL FUNCTION EarlyCare,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-renal-function-dry-early-care,PRO PLAN® VETERINARY DIETS FELINE NF RENAL FUNCTION EarlyCare,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FELINE OM OBESITY MANAGEMENT Cat,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-obesity-management-dry,PRO PLAN® VETERINARY DIETS FELINE OM OBESITY MANAGEMENT Cat,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FELINE UR ST/OX URINARY Cat,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-dry-chicken,PRO PLAN® VETERINARY DIETS FELINE UR ST/OX URINARY Cat,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FELINE UR ST/OX URINARY Cat Ψάρια Ωκεανού,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-dry-fish,PRO PLAN® VETERINARY DIETS FELINE UR ST/OX URINARY Cat Ψάρια Ωκεανού,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FORTIFLORA Feline Διατροφικό συμπλήρωμα 6x30g,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-fortiflora-cat-supplement,PRO PLAN® VETERINARY DIETS FORTIFLORA Feline Διατροφικό συμπλήρωμα 6x30g,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.","Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS FORTIFLORA Fln CHEWS Διατροφικό συμπλήρωμα,pro plan cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-fortiflora-chews-cat-supplement,PRO PLAN® VETERINARY DIETS FORTIFLORA Fln CHEWS Διατροφικό συμπλήρωμα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.","Official Purina Greece product page discovered, but product appears to be a supplement/treat and should not be mixed into complete-food import."
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS OM OBESITY MANAGEMENT Cat Κομματάκια σε σάλτσα Κοτόπουλο,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-obesity-management-wet-chicken-pouch,PRO PLAN® VETERINARY DIETS OM OBESITY MANAGEMENT Cat Κομματάκια σε σάλτσα Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS UR ST/OX URINARY Cat Κομματάκια σε σάλτσα Κοτόπουλο,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-wet-chicken,PRO PLAN® VETERINARY DIETS UR ST/OX URINARY Cat Κομματάκια σε σάλτσα Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan Veterinary Diets,cat,PRO PLAN® VETERINARY DIETS UR ST/OX URINARY Cat Κομματάκια σε σάλτσα Σολομός,pro plan vet diets cat,https://www.purina.gr/cat/cat-food/product-proplan-veterinary-diets-urinary-wet-salmon-pouch,PRO PLAN® VETERINARY DIETS UR ST/OX URINARY Cat Κομματάκια σε σάλτσα Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Dog Chow,dog,CHOW® ADULT LARGE BREED Dog Γαλοπούλα,dog chow,https://www.purina.gr/dog/dog-food/product-chow-large-breed-dry-adult-turkey,CHOW® ADULT LARGE BREED Dog Γαλοπούλα,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Dog Chow,dog,CHOW® MATURE SENIOR Dog Κοτόπουλο,dog chow,https://www.purina.gr/dog/dog-food/product-chow-dry-senior-chicken,CHOW® MATURE SENIOR Dog Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Dog Chow,dog,CHOW® PUPPY Κοτόπουλο,dog chow,https://www.purina.gr/dog/dog-food/product-chow-dry-puppy-chicken,CHOW® PUPPY Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Dog Chow,dog,CHOW® SENSITIVE Dog Σολομος,dog chow,https://www.purina.gr/dog/dog-food/product-chow-sensitive-dry-salmon,CHOW® SENSITIVE Dog Σολομος,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Dog Chow,dog,DOG CHOW® CLASSIC Adult Κοτόπουλο,dog chow,https://www.purina.gr/dog/dog-food/product-chow-classic-dry-adult-chicken,DOG CHOW® CLASSIC Adult Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® ALL SIZES ADULT LIGHT/STERILISED Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-light-weight-management-chicken,PRO PLAN® ALL SIZES ADULT LIGHT/STERILISED Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® ALL SIZES ADULT Perfromance Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-performance-chicken,PRO PLAN® ALL SIZES ADULT Perfromance Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ATHLETIC ADULT Everyday Nutrition Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-athletic-everyday-nutrition-chicken,PRO PLAN® LARGE ATHLETIC ADULT Everyday Nutrition Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ATHLETIC ADULT Sensitive Skin Σολομός,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-athletic-sensitive-skin-salmon,PRO PLAN® LARGE ATHLETIC ADULT Sensitive Skin Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ATHLETIC PUPPY Healthy Start Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-puppy-large-athletic-healthy-start-chicken,PRO PLAN® LARGE ATHLETIC PUPPY Healthy Start Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ROBUST ADULT Everyday Nutrition Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-robust-everyday-nutrition-chicken,PRO PLAN® LARGE ROBUST ADULT Everyday Nutrition Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ROBUST ADULT Sensitive Digestion Αρνί,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-robust-sensitive-digestion-lamb,PRO PLAN® LARGE ROBUST ADULT Sensitive Digestion Αρνί,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ROBUST ADULT Sensitive Skin Σολομός,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-robust-sensitive-skin-salmon,PRO PLAN® LARGE ROBUST ADULT Sensitive Skin Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® LARGE ROBUST PUPPY Healthy Start Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-puppy-large-robust-healthy-start-chicken,PRO PLAN® LARGE ROBUST PUPPY Healthy Start Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® Large Starter Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-large-starter-chicken,PRO PLAN® Large Starter Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® MEDIUM & LARGE ADULT 7+ Sensitive skin Σολομός,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-senior-medium-sensitive-skin-salmon,PRO PLAN® MEDIUM & LARGE ADULT 7+ Sensitive skin Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® MEDIUM & LARGE ADULT Age Defence 7+ Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-senior-medium-large-age-defence-chicken,PRO PLAN® MEDIUM & LARGE ADULT Age Defence 7+ Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® MEDIUM ADULT Everyday Nutrition Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-medium-everyday-nutrition-chicken,PRO PLAN® MEDIUM ADULT Everyday Nutrition Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® MEDIUM ADULT Sensitive Digestion Αρνί,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-medium-sensitive-digestion-lamb,PRO PLAN® MEDIUM ADULT Sensitive Digestion Αρνί,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® MEDIUM ADULT Sensitive skin Σολομός,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-adult-medium-sensitive-skin-salmon,PRO PLAN® MEDIUM ADULT Sensitive skin Σολομός,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
Purina Pro Plan,dog,PRO PLAN® MEDIUM PUPPY Healthy Start Κοτόπουλο,pro plan dog,https://www.purina.gr/dog/dog-food/product-proplan-puppy-medium-optistart-chicken,PRO PLAN® MEDIUM PUPPY Healthy Start Κοτόπουλο,"Match against existing Purina Food V2 rows, then use this official URL as provenance for nutrition/ingredients backfill.",Official Purina Greece product page discovered from user-supplied official listing URL; use to backfill data_source_url and verify nutrients before import.
