issue_type,brand,formula_name,display_name,species,format,source_url,formula_key,suggested_action
formula_contains_species_word,Brit,Care Cat Sensitive Turkey & Salmon Grain Free,Brit Care Cat Sensitive Turkey & Salmon Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26645-brit-care-cat-sensitive-turkey-salmon-grain-free-2kg.html,brit-care-cat-sensitive-turkey-and-salmon-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Sterilised Immunity Support Pork Grain Free,Brit Care Cat Sterilised Immunity Support Pork Grain Free 7kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26653-brit-care-cat-sterilised-immunity-support-pork-grain-free-7kg.html,brit-care-cat-sterilised-immunity-support-pork-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Sterilised Sensitive Rabbit Grain Free,Brit Care Cat Sterilised Sensitive Rabbit Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26654-brit-care-cat-sterilised-sensitive-rabbit-grain-free-2kg.html,brit-care-cat-sterilised-sensitive-rabbit-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Sterilised Urinary Chicken Grain Free,Brit Care Cat Sterilised Urinary Chicken Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26657-brit-care-cat-sterilised-urinary-chicken-grain-free-2kg.html,brit-care-cat-sterilised-urinary-chicken-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Cat Sterilised Weight Control Duck & Turkey Grain Free,Brit Care Cat Sterilised Weight Control Duck & Turkey Grain Free 2kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26660-brit-care-cat-sterilised-weight-control-duck-turkey-grain-free-2kg.html,brit-care-cat-sterilised-weight-control-duck-and-turkey-grain-free-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Grain Free Dog Adult Small & Medium Salmon,Brit Care Grain Free Dog Adult Small & Medium Salmon 1kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26503-brit-care-grain-free-dog-adult-small-medium-salmon-1kg.html,brit-care-grain-free-dog-adult-small-and-medium-salmon-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Grain Free Dog Senior & Light Salmon,Brit Care Grain Free Dog Senior & Light Salmon 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26516-brit-care-grain-free-dog-senior-light-salmon-12kg.html,brit-care-grain-free-dog-senior-and-light-salmon-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Grain Free Sensitive Dog Adult Venison,Brit Care Grain Free Sensitive Dog Adult Venison 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26519-brit-care-grain-free-sensitive-dog-adult-venison-12kg.html,brit-care-grain-free-sensitive-dog-adult-venison-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Adult Medium Lamb & Rice,Brit Care Hypoallergenic Dog Adult Medium Lamb & Rice 1kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26524-brit-care-hypoallergenic-dog-adult-medium-lamb-rice-1kg.html,brit-care-hypoallergenic-dog-adult-medium-lamb-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Adult Show Champion Salmon & Herring,Brit Care Hypoallergenic Dog Adult Show Champion Salmon & Herring 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26540-brit-care-hypoallergenic-dog-adult-show-champion-salmon-herring-12kg.html,brit-care-hypoallergenic-dog-adult-show-champion-salmon-and-herring-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Adult Small Lamb & Rice,Brit Care Hypoallergenic Dog Adult Small Lamb & Rice 1kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26527-brit-care-hypoallergenic-dog-adult-small-lamb-rice-1kg.html,brit-care-hypoallergenic-dog-adult-small-lamb-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Adult Weight Loss Rabbit & Rice,Brit Care Hypoallergenic Dog Adult Weight Loss Rabbit & Rice 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26543-brit-care-hypoallergenic-dog-adult-weight-loss-rabbit-rice-12kg.html,brit-care-hypoallergenic-dog-adult-weight-loss-rabbit-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Junior Large Lamb & Rice,Brit Care Hypoallergenic Dog Junior Large Lamb & Rice 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26531-brit-care-hypoallergenic-dog-junior-large-lamb-rice-12kg.html,brit-care-hypoallergenic-dog-junior-large-lamb-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Puppy Lamb & Rice,Brit Care Hypoallergenic Dog Puppy Lamb & Rice 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26534-brit-care-hypoallergenic-dog-puppy-lamb-rice-12kg.html,brit-care-hypoallergenic-dog-puppy-lamb-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Senior Lamb & Rice,Brit Care Hypoallergenic Dog Senior Lamb & Rice 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26537-brit-care-hypoallergenic-dog-senior-lamb-rice-12kg.html,brit-care-hypoallergenic-dog-senior-lamb-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Hypoallergenic Dog Weight Loss Rabbit & Rice,Brit Care Hypoallergenic Dog Weight Loss Rabbit & Rice 3kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26544-brit-care-hypoallergenic-dog-weight-loss-rabbit-rice-3kg.html,brit-care-hypoallergenic-dog-weight-loss-rabbit-and-rice-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Mini Dog Adult Grain Free Hair & Skin Salmon & Herring,Brit Care Mini Dog Adult Grain Free Hair & Skin Salmon & Herring 2kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26575-brit-care-mini-dog-adult-grain-free-hair-skin-salmon-herring-2kg.html,brit-care-mini-dog-adult-grain-free-hair-and-skin-salmon-and-herring-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Mini Dog Adult Grain Free Lamb,Brit Care Mini Dog Adult Grain Free Lamb 2kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26572-brit-care-mini-dog-adult-grain-free-lamb-2kg.html,brit-care-mini-dog-adult-grain-free-lamb-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Mini Dog Adult Grain Free Light & Sterilised Rabbit & Salmon,Brit Care Mini Dog Adult Grain Free Light & Sterilised Rabbit & Salmon 2kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26578-brit-care-mini-dog-adult-grain-free-light-sterilised-rabbit-salmon-2kg.html,brit-care-mini-dog-adult-grain-free-light-and-sterilised-rabbit-and-salmon-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Mini Dog Adult Sensitive Grain Free Venison,Brit Care Mini Dog Adult Sensitive Grain Free Venison 2kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26584-brit-care-mini-dog-adult-sensitive-grain-free-venison-2kg.html,brit-care-mini-dog-adult-sensitive-grain-free-venison-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Mini Dog Adult Yorkshire Salmon & Tuna,Brit Care Mini Dog Adult Yorkshire Salmon & Tuna 2kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26587-brit-care-mini-dog-adult-yorkshire-salmon-tuna-2kg.html,brit-care-mini-dog-adult-yorkshire-salmon-and-tuna-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Mini Dog Puppy Grain Free Lamb,Brit Care Mini Dog Puppy Grain Free Lamb 2kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26581-brit-care-mini-dog-puppy-grain-free-lamb-2kg.html,brit-care-mini-dog-puppy-grain-free-lamb-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Sustainable Dog Adult Large Chicken & Insect,Brit Care Sustainable Dog Adult Large Chicken & Insect 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26549-brit-care-sustainable-dog-adult-large-chicken-insect-12kg.html,brit-care-sustainable-dog-adult-large-chicken-and-insect-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Care Sustainable Dog Senior Chicken & Insect,Brit Care Sustainable Dog Senior Chicken & Insect 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26564-brit-care-sustainable-dog-senior-chicken-insect-12kg.html,brit-care-sustainable-dog-senior-chicken-and-insect-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Fresh Beef Dog Junior Large Growth & Joints,Brit Fresh Beef Dog Junior Large Growth & Joints 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26934-brit-fresh-beef-dog-junior-large-growth-joints-12kg.html,brit-fresh-beef-dog-junior-large-growth-and-joints-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Fresh Chicken Dog Adult Great Life,Brit Fresh Chicken Dog Adult Great Life 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26932-brit-fresh-chicken-dog-adult-great-life-12kg.html,brit-fresh-chicken-dog-adult-great-life-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Fresh Chicken Dog Junior Healthy Growth,Brit Fresh Chicken Dog Junior Healthy Growth 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26930-brit-fresh-chicken-dog-junior-healthy-growth-12kg.html,brit-fresh-chicken-dog-junior-healthy-growth-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Fresh Duck Dog Adult Run & Work,Brit Fresh Duck Dog Adult Run & Work 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26940-brit-fresh-duck-dog-adult-run-work-12kg.html,brit-fresh-duck-dog-adult-run-and-work-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Fresh Fish Dog Adult Large Muscles & Joints,Brit Fresh Fish Dog Adult Large Muscles & Joints 12kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26936-brit-fresh-fish-dog-adult-large-muscles-joints-12kg.html,brit-fresh-fish-dog-adult-large-muscles-and-joints-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Fresh Turkey Dog Senior Fit & Slim,Brit Fresh Turkey Dog Senior Fit & Slim 2.5kg,dog,dry,https://www.gatoskilo.gr/ksira-trofi-skyloy/26939-brit-fresh-turkey-dog-senior-fit-slim-25kg.html,brit-fresh-turkey-dog-senior-fit-and-slim-dog-dry-gr-gatoskilo,Review whether the word Dog is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Premium By Nature Cat Adult Chicken,Brit Premium By Nature Cat Adult Chicken 8kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26882-brit-premium-by-nature-cat-adult-chicken-8kg.html,brit-premium-by-nature-cat-adult-chicken-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Premium By Nature Cat Adult Salmon,Brit Premium By Nature Cat Adult Salmon 300gr,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26883-brit-premium-by-nature-cat-adult-salmon-300gr.html,brit-premium-by-nature-cat-adult-salmon-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
formula_contains_species_word,Brit,Premium By Nature Cat Kitten,Brit Premium By Nature Cat Kitten 1.5kg,cat,dry,https://www.gatoskilo.gr/ksira-trofi-gatas/26878-brit-premium-by-nature-cat-kitten-15kg.html,brit-premium-by-nature-cat-kitten-cat-dry-gr-gatoskilo,Review whether the word Cat is needed in formula_name or should only be implied by species.
