priority,action,brand,current_formula_name,current_display_name,suggested_formula_name,suggested_display_name,species,format,life_stage,dog_size,source_priority,source_rank,data_source_url,formula_key,reasons
medium,apply_suggested_title_if_source_matches,Amanova,Adult Cat Turkey Delight Grain Free,Amanova Adult Cat Turkey Delight 1.5kg Grain Free,Adult Cat Turkey Delight Grain Free,Amanova Adult Cat Turkey Delight Grain Free,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16795-amanova-adult-cat-turkey-delight-15kg-grain-free.html,amanova-adult-cat-turkey-delight-grain-free-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Dog Adult Sensitive Salmon Deluxe Grain Free,Amanova Dog Adult Sensitive Salmon Deluxe 2kg Grain Free,Adult Sensitive Salmon Deluxe Grain Free,Amanova Adult Sensitive Salmon Deluxe Grain Free,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/16767-amanova-dog-adult-sensitive-salmon-deluxe-2kg-grain-free.html,amanova-dog-adult-sensitive-salmon-deluxe-grain-free-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Kitten Exquisite Chicken Low Grain,Amanova Kitten Exquisite Chicken 1.5kg Low Grain,Kitten Exquisite Chicken Low Grain,Amanova Kitten Exquisite Chicken Low Grain,cat,dry,kitten,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16782-amanova-kitten-exquisite-chicken-15kg-low-grain.html,amanova-kitten-exquisite-chicken-low-grain-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Dog Puppy Digestive Divine Rabbit Grain Free,Amanova Dog Puppy Digestive Divine Rabbit 2kg Grain Free,Puppy Digestive Divine Rabbit Grain Free,Amanova Puppy Digestive Divine Rabbit Grain Free,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/16771-amanova-dog-puppy-digestive-divine-rabbit-2kg-grain-free.html,amanova-dog-puppy-digestive-divine-rabbit-grain-free-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Sterilised Cat Delicious Lamb Low Grain,Amanova Sterilised Cat Delicious Lamb 1.5kg Low Grain,Sterilised Cat Delicious Lamb Low Grain,Amanova Sterilised Cat Delicious Lamb Low Grain,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16788-amanova-sterilised-cat-delicious-lamb-15kg-low-grain.html,amanova-sterilised-cat-delicious-lamb-low-grain-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Sterilised Cat Exquisite Chicken Low Grain,Amanova Sterilised Cat Exquisite Chicken 1.5kg Low Grain,Sterilised Cat Exquisite Chicken Low Grain,Amanova Sterilised Cat Exquisite Chicken Low Grain,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16785-amanova-sterilised-cat-exquisite-chicken-15kg-low-grain.html,amanova-sterilised-cat-exquisite-chicken-low-grain-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Sterilised Cat Fish Delicacy Grain Free,Amanova Sterilised Cat Fish Delicacy 1.5kg Grain Free,Sterilised Cat Fish Delicacy Grain Free,Amanova Sterilised Cat Fish Delicacy Grain Free,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16792-amanova-sterilised-cat-fish-delicacy-15kg-grain-free.html,amanova-sterilised-cat-fish-delicacy-grain-free-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Amanova,Sterilised Cat Salmon Deluxe Low Grain,Amanova Sterilised Cat Salmon Deluxe 1.5kg Low Grain,Sterilised Cat Salmon Deluxe Low Grain,Amanova Sterilised Cat Salmon Deluxe Low Grain,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/16791-amanova-sterilised-cat-salmon-deluxe-15kg-low-grain.html,amanova-sterilised-cat-salmon-deluxe-low-grain-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Grain Free Cat & Kitten Turkey & Chicken,Ambrosia Grain Free Cat & Kitten Turkey & Chicken 1.5kg,Grain Free Cat & Kitten Turkey & Chicken,Ambrosia Grain Free Cat & Kitten Turkey & Chicken,cat,dry,kitten,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/17653-ambrosia-grain-free-cat-kitten-turkey-chicken-15kg.html,ambrosia-grain-free-cat-and-kitten-turkey-and-chicken-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Grain Free Cat Adult & Sterilized Fresh Salmon & Chicken,Ambrosia Grain Free Cat Adult & Sterilized Fresh Salmon & Chicken 1.5kg,Grain Free Cat Adult & Sterilized Fresh Salmon & Chicken,Ambrosia Grain Free Cat Adult & Sterilized Fresh Salmon & Chicken,cat,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/17657-ambrosia-grain-free-cat-adult-sterilized-fresh-salmon-chicken-15kg.html,ambrosia-grain-free-cat-adult-and-sterilized-fresh-salmon-and-chicken-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Grain Free Cat Sterilised Turkey & Herring,Ambrosia Grain Free Cat Sterilised Turkey & Herring 5kg,Grain Free Cat Sterilised Turkey & Herring,Ambrosia Grain Free Cat Sterilised Turkey & Herring,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/17656-ambrosia-grain-free-cat-sterilised-turkey-herring-5kg.html,ambrosia-grain-free-cat-sterilised-turkey-and-herring-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Grain Free Cat Sterilized Fresh Duck & Turkey,Ambrosia Grain Free Cat Sterilized Fresh Duck & Turkey 1.5kg,Grain Free Cat Sterilized Fresh Duck & Turkey,Ambrosia Grain Free Cat Sterilized Fresh Duck & Turkey,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/25302-ambrosia-grain-free-cat-sterilized-fresh-duck-turkey-15kg.html,ambrosia-grain-free-cat-sterilized-fresh-duck-and-turkey-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Grain Free Cat Sterilized Turkey & Herring,Ambrosia Grain Free Cat Sterilized Turkey & Herring 1.5kg,Grain Free Cat Sterilized Turkey & Herring,Ambrosia Grain Free Cat Sterilized Turkey & Herring,cat,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-gatas/17655-ambrosia-grain-free-cat-sterilized-turkey-herring-15kg.html,ambrosia-grain-free-cat-sterilized-turkey-and-herring-cat-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Mediterranean Grain Free Adult Fresh Lamb,Ambrosia Mediterranean Grain Free Adult Fresh Lamb 5kg,Mediterranean Grain Free Adult Fresh Lamb,Ambrosia Mediterranean Grain Free Adult Fresh Lamb,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/25309-ambrosia-mediterranean-grain-free-adult-fresh-lamb-5kg.html,ambrosia-mediterranean-grain-free-adult-fresh-lamb-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Mediterranean Grain Free Adult Fresh Sardine & Tuna,Ambrosia Mediterranean Grain Free Adult Fresh Sardine & Tuna 1.5kg,Mediterranean Grain Free Adult Fresh Sardine & Tuna,Ambrosia Mediterranean Grain Free Adult Fresh Sardine & Tuna,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/25306-ambrosia-mediterranean-grain-free-adult-fresh-sardine-tuna-15kg.html,ambrosia-mediterranean-grain-free-adult-fresh-sardine-and-tuna-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Mediterranean Grain Free Adult Sensitive Fresh Duck,Ambrosia Mediterranean Grain Free Adult Sensitive Fresh Duck 1.5kg,Mediterranean Grain Free Adult Sensitive Fresh Duck,Ambrosia Mediterranean Grain Free Adult Sensitive Fresh Duck,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/25310-ambrosia-mediterranean-grain-free-adult-sensitive-fresh-duck-15kg.html,ambrosia-mediterranean-grain-free-adult-sensitive-fresh-duck-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Mediterranean Grain Free Puppy Fresh Sardine & Herring,Ambrosia Mediterranean Grain Free Puppy Fresh Sardine & Herring 5kg,Mediterranean Grain Free Puppy Fresh Sardine & Herring,Ambrosia Mediterranean Grain Free Puppy Fresh Sardine & Herring,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/25305-ambrosia-mediterranean-grain-free-puppy-fresh-sardine-herring-5kg.html,ambrosia-mediterranean-grain-free-puppy-fresh-sardine-and-herring-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Ambrosia,Mediterranean Grain Free Senior Light & Sterilised Fresh Turkey,Ambrosia Mediterranean Grain Free Senior Light & Sterilised Fresh Turkey 5kg,Mediterranean Grain Free Senior Light & Sterilised Fresh Turkey,Ambrosia Mediterranean Grain Free Senior Light & Sterilised Fresh Turkey,dog,dry,senior,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/25315-ambrosia-mediterranean-grain-free-senior-light-sterilised-fresh-turkey-5kg.html,ambrosia-mediterranean-grain-free-senior-light-and-sterilised-fresh-turkey-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Anima,Dog Adult Chicken & Turkey,Anima Dog Adult Chicken & Turkey 14kg,Adult Chicken & Turkey,Anima Adult Chicken & Turkey,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/27641-anima-dog-adult-chicken-turkey-14kg.html,anima-dog-adult-chicken-and-turkey-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Anima,Dog Adult Lamb & Rice,Anima Dog Adult Lamb & Rice 14kg,Adult Lamb & Rice,Anima Adult Lamb & Rice,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/27643-anima-dog-adult-lamb-rice-14kg.html,anima-dog-adult-lamb-and-rice-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Anima,Puppy Chicken & Turkey,Anima Puppy Chicken & Turkey 14kg,Puppy Chicken & Turkey,Anima Puppy Chicken & Turkey,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/27637-anima-puppy-chicken-turkey-14kg.html,anima-puppy-chicken-and-turkey-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Banters,Adult Lamb & Rice,Banters Adult Lamb & Rice 15kg,Adult Lamb & Rice,Banters Adult Lamb & Rice,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/9932-banters-adult-lamb-rice-15kg.html,banters-adult-lamb-and-rice-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Barking Heads,All Hounder Puppy Days Turkey,Barking Heads All Hounder Puppy Days Turkey 6kg,All Hounder Puppy Days Turkey,Barking Heads All Hounder Puppy Days Turkey,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/26053-barking-heads-all-hounder-puppy-days-turkey-6kg.html,barking-heads-all-hounder-puppy-days-turkey-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Barking Heads,Fat Dog Slim Chicken,Barking Heads Fat Dog Slim Chicken 12kg,Fat Slim Chicken,Barking Heads Fat Slim Chicken,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/25400-barking-heads-fat-dog-slim-chicken-12kg.html,barking-heads-fat-dog-slim-chicken-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Barking Heads,Little Paws Bowl Lickin' Chicken - Small Breed,Barking Heads Little Paws Bowl Lickin' Chicken - Small Breed 6kg,Little Paws Bowl Lickin' Chicken Small Breed,Barking Heads Little Paws Bowl Lickin' Chicken Small Breed,dog,dry,,small,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/26054-barking-heads-little-paws-bowl-lickin-chicken-small-breed-6kg.html,barking-heads-little-paws-bowl-lickin-chicken-small-breed-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Bedog,Active,Bedog Active 15kg,Active,Bedog Active,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/20946-bedog-active-15kg.html,bedog-active-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Bedog,Junior,Bedog Junior 15kg,Junior,Bedog Junior,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/20947-bedog-junior-15kg.html,bedog-junior-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Bedog,Vital,Bedog Vital 15kg,Vital,Bedog Vital,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/20948-bedog-vital-15kg.html,bedog-vital-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Adult Dinner,Belcando Adult Dinner 1kg,Adult Dinner,Belcando Adult Dinner,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11230-belcando-adult-dinner-1kg.html,belcando-adult-dinner-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Adult Grain Free Poultry,Belcando Adult Grain Free Poultry 12.5kg,Adult Grain Free Poultry,Belcando Adult Grain Free Poultry,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11848-belcando-adult-grain-free-poultry-125kg.html,belcando-adult-grain-free-poultry-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Adult Iberico & Rice,Belcando Adult Iberico & Rice 12.5kg,Adult Iberico & Rice,Belcando Adult Iberico & Rice,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11235-belcando-adult-iberico-rice-125kg.html,belcando-adult-iberico-and-rice-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Adult Light,Belcando Adult Light 1kg,Adult Light,Belcando Adult Light,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11247-belcando-adult-light-1kg.html,belcando-adult-light-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Adult Multi-Croc,Belcando Adult Multi-Croc 12.5kg,Adult Multi Croc,Belcando Adult Multi Croc,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11851-belcando-adult-multi-croc-125kg.html,belcando-adult-multi-croc-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Adult Power,Belcando Adult Power 12.5kg,Adult Power,Belcando Adult Power,dog,dry,adult,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11854-belcando-adult-power-125kg.html,belcando-adult-power-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Baseline Explorer,Belcando Baseline Explorer 12.5kg,Baseline Explorer,Belcando Baseline Explorer,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/24734-belcando-baseline-explorer-125kg.html,belcando-baseline-explorer-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Baseline Fisher,Belcando Baseline Fisher 12.5kg,Baseline Fisher,Belcando Baseline Fisher,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/24726-belcando-baseline-fisher-125kg.html,belcando-baseline-fisher-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Baseline Joker Grain Free,Belcando Baseline Joker Grain Free 4kg,Baseline Joker Grain Free,Belcando Baseline Joker Grain Free,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/24730-belcando-baseline-joker-grain-free-4kg.html,belcando-baseline-joker-grain-free-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Baseline Oldie & Light,Belcando Baseline Oldie & Light 12.5kg,Baseline Oldie & Light,Belcando Baseline Oldie & Light,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/24736-belcando-baseline-oldie-light-125kg.html,belcando-baseline-oldie-and-light-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Baseline Ranger Grain Free,Belcando Baseline Ranger Grain Free 12.5kg,Baseline Ranger Grain Free,Belcando Baseline Ranger Grain Free,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/24728-belcando-baseline-ranger-grain-free-125kg.html,belcando-baseline-ranger-grain-free-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Finest Croc,Belcando Finest Croc 12.5kg,Finest Croc,Belcando Finest Croc,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11856-belcando-finest-croc-125kg.html,belcando-finest-croc-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Finest Grain-Free Lamb,Belcando Finest Grain-Free Lamb 12.5kg,Finest Grain Free Lamb,Belcando Finest Grain Free Lamb,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11863-belcando-finest-grain-free-lamb-125kg.html,belcando-finest-grain-free-lamb-dog-dry-gr-gatoskilo,display_name_contains_pack_size;formula_name_can_be_canonicalized;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Finest Grain Free Salmon,Belcando Finest Grain Free Salmon 12.5kg,Finest Grain Free Salmon,Belcando Finest Grain Free Salmon,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11849-belcando-finest-grain-free-salmon-125kg.html,belcando-finest-grain-free-salmon-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Finest Light,Belcando Finest Light 4kg,Finest Light,Belcando Finest Light,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11251-belcando-finest-light-4kg.html,belcando-finest-light-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Junior Grain Free Poultry,Belcando Junior Grain Free Poultry 4kg,Junior Grain Free Poultry,Belcando Junior Grain Free Poultry,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11260-belcando-junior-grain-free-poultry-4kg.html,belcando-junior-grain-free-poultry-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Junior Lamb & Rice,Belcando Junior Lamb & Rice 12.5kg,Junior Lamb & Rice,Belcando Junior Lamb & Rice,dog,dry,puppy,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11226-belcando-junior-lamb-rice-125kg.html,belcando-junior-lamb-and-rice-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Junior Maxi,Belcando Junior Maxi 12.5kg,Junior Maxi,Belcando Junior Maxi,dog,dry,puppy,large,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11858-belcando-junior-maxi-125kg.html,belcando-junior-maxi-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Senior Finest Grain Free Poultry,Belcando Senior Finest Grain Free Poultry 4kg,Senior Finest Grain Free Poultry,Belcando Senior Finest Grain Free Poultry,dog,dry,senior,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11274-belcando-senior-finest-grain-free-poultry-4kg.html,belcando-senior-finest-grain-free-poultry-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando,Senior Sensitive,Belcando Senior Sensitive 4kg,Senior Sensitive,Belcando Senior Sensitive,dog,dry,senior,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/11257-belcando-senior-sensitive-4kg.html,belcando-senior-sensitive-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
medium,apply_suggested_title_if_source_matches,Belcando Mastercraft,Fresh Turkey,Belcando Mastercraft Fresh Turkey 10kg,Fresh Turkey,Belcando Mastercraft Fresh Turkey,dog,dry,,,retailer,60,https://www.gatoskilo.gr/ksira-trofi-skyloy/8188-belcando-mastercraft-fresh-turkey-10kg.html,belcando-mastercraft-fresh-turkey-dog-dry-gr-gatoskilo,display_name_contains_pack_size;display_name_can_be_standardized
