formula_key,brand,formula_name,species,status,missing_fields,evidence_path,duplicate_blocks_skipped,recommended_action,notes
aatu-aatu-dog-wild-boar-pork-dog-wet-gr-document,AATU,AATU Dog Wild Boar&Pork,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
aatu-aatu-angus-beef-dog-wet-gr-document,AATU,AATU Angus Beef,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-puppy-days-dog-wet-gr-document,Barking Heads,Barking Heads Wet Puppy Days,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-chop-lickin-lamb-dog-wet-gr-document,Barking Heads,Barking Heads Wet Chop Lickin Lamb,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-bowl-lickin-chicken-dog-wet-gr-document,Barking Heads,Barking Heads Wet Bowl Lickin Chicken,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-beef-waggington-dog-wet-gr-document,Barking Heads,Barking Heads Wet Beef Waggington,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-pouch-fat-dog-slim-dog-wet-gr-document,Barking Heads,Barking Heads Wet Pouch Fat Dog Slim,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-pooched-salmon-dog-wet-gr-document,Barking Heads,Barking Heads Wet Pooched Salmon,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-pouch-top-dog-turkey-dog-wet-gr-document,Barking Heads,Barking Heads Wet Pouch Top Dog Turkey,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-small-chicken-turkey-dog-wet-gr-document,Barking Heads,Barking Heads Wet Small Chicken & Turkey,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-small-beef-chicken-salmon-dog-wet-gr-document,Barking Heads,Barking Heads Wet Small Beef & Chicken & Salmon,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
barking-heads-barking-heads-wet-pouch-golden-years-dog-wet-gr-document,Barking Heads,Barking Heads Wet Pouch Golden Years,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/aatu barking Heads.docx,0,"Attach official AATU/Barking Heads URL, verify nutrients/format, backfill kcal/sodium/magnesium if available, then preview in Food V2 before commit.",Treat products are intentionally excluded; rows are formula-level food products only.
