priority,formula_key,brand,formula_name,species,open_gap_groups,critical_missing_fields,next_best_action,evidence_path,status,notes
high,royal-canin-digestive-care-cat-dry-gr-photo,Royal Canin,Digestive Care,cat,core_nutrition|identity_and_barcode|minerals,barcode_or_ean|kcal_per_100g_or_kcal_per_kg|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
high,royal-canin-mini-adult-exigent-dog-dry-gr-photo,Royal Canin,Mini Adult Exigent,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult exigent,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Mini Adult Light Weight Care,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult light weight care,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,Royal Canin,Mini Adult Sterilised,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult sterilised,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo,Royal Canin,Miniature Schnauzer Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal miniature schnauzer adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-shih-tzu-adult-dog-dry-gr-photo,Royal Canin,Shih Tzu Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo,Royal Canin,West Highland White Terrier Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-dog-dry-gr-photo,Royal Canin,X-Small Adult,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-ageing-12-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 12+,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-ageing-8-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 8+,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo,Royal Canin,Yorkshire Terrier Puppy,dog,core_nutrition|identity_and_barcode|ingredients|minerals,barcode_or_ean|ingredient_text|kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,Open the pack photos and verify barcode/EAN plus exact formula identity.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
